ID;Edad;Ingresos_Anuales;Historial_Crediticio;Monto_Prestamo_Solicitado;Plazo_Prestamo_Años;Número_Creditos_Previos;Empleo;Tasa_Interes;Decision_Final
1;37;18929874;0; $4.325.121 ;9;4;empleado;8,7;FALSO
2;21;3558248;1; $2.710.957 ;6;4;desempleado;1;FALSO
3;21;17495860;0; $1.632.574 ;9;2;autónomo;7,2;FALSO
4;29;20950997;1; $4.544.532 ;4;5;autónomo;13,5;VERDADERO
5;58;11443766;0; $4.088.312 ;5;2;empleado;9,6;FALSO
6;25;3334071;1; $3.679.921 ;6;11;desempleado;6,2;FALSO
7;45;6955410;0; $1.800.292 ;14;6;empleado;13,1;FALSO
8;46;2517471;1; $4.506.657 ;6;11;desempleado;11;FALSO
9;60;12314101;1; $1.810.745 ;9;9;empleado;8,6;VERDADERO
10;33;7769416;0; $3.082.120 ;4;4;empleado;1,1;FALSO
11;33;4428489;1; $4.640.926 ;5;5;desempleado;4,6;FALSO
12;22;13759890;1; $4.432.568 ;9;10;empleado;9,7;VERDADERO
13;27;10384429;1; $2.826.463 ;9;6;empleado;1,5;VERDADERO
14;28;8697426;0; $4.790.245 ;14;11;empleado;8,1;FALSO
15;42;6168879;1; $2.383.057 ;8;12;empleado;3,6;VERDADERO
16;36;10455180;1; $4.675.962 ;4;8;autónomo;5,3;VERDADERO
17;28;9681222;0; $3.494.762 ;3;3;empleado;5,4;FALSO
18;47;3878784;1; $2.091.318 ;8;9;desempleado;7,3;FALSO
19;34;14263344;1; $2.372.473 ;5;9;empleado;5;VERDADERO
20;38;18476460;1; $4.886.030 ;1;1;empleado;11,2;VERDADERO
21;32;7170722;0; $4.537.482 ;2;9;empleado;9,4;FALSO
22;30;3561374;0; $4.538.239 ;2;2;desempleado;6;FALSO
23;42;2541362;0; $4.951.027 ;5;7;desempleado;2;FALSO
24;27;20385030;1; $1.306.286 ;2;10;autónomo;9,2;VERDADERO
25;28;4718596;1; $1.176.540 ;12;12;desempleado;13,5;FALSO
26;44;13871291;1; $1.645.063 ;2;12;empleado;7,7;VERDADERO
